Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
STBD1;O95210;0,6704829;2,94E-03;0,4467532;3,60E-04;Vicino all'ER;0,2237297;Homo sapiens;ER;ER;Starch-binding domain-containing protein 1
STEAP3;Q658P3;0,8999469;1,58E-02;0,9559987;5,02E-02;Vicino al REPLICOMA;0,0560518;Homo sapiens;endosome-vesicle;PM;Metalloreductase STEAP3
STEEP1;Q9H5V9;0,822325;9,12E-03;0,8396061;2,00E-02;Vicino al REPLICOMA;0,0172811;Homo sapiens;;Nucleus;STING ER exit protein
STIM1;H0YDB2;0,7788023;6,83E-03;0,6865274;5,58E-03;Vicino all'ER;0,0922749;Homo sapiens;ER;ER;Stromal interaction molecule 1
STIM2;"A0A1X7SBY3;A0A8V8TMC8;H0Y860;Q9P246";0,8890146;1,45E-02;0,623302;2,84E-03;Vicino all'ER;0,2657126;Homo sapiens;;ER;Stromal interaction molecule 2
STIMATE;Q86TL2;1,747333;9,06E-01;1,534082;8,34E-01;Vicino all'ER;0,213251;Homo sapiens;;Golgi apparatus;Store-operated calcium entry regulator STIMATE
STING1;"A0A494C0W5;Q86WV6";0,3173763;0,00E+00;0,4401594;3,54E-04;Vicino al REPLICOMA;0,1227831;Homo sapiens;;ER;Stimulator of interferon genes protein
STIP1;P31948;2,148484;1,00E+00;1,910781;1,00E+00;Vicino all'ER;0,237703;Homo sapiens;Cytoplasm;Cytoplasm;Stress-induced-phosphoprotein 1
STK10;O94804;2,078091;1,00E+00;1,830859;1,00E+00;Vicino all'ER;0,247232;Homo sapiens;;Cytoplasm;Serine/threonine-protein kinase 10
STK11IP;Q8N1F8;1,017304;3,60E-02;0,9763822;5,81E-02;Vicino all'ER;0,0409218;Homo sapiens;Lysosome;Golgi apparatus;Serine/threonine-protein kinase 11-interacting protein
STK24;B4DR80;1,971656;1,00E+00;1,72047;1,00E+00;Vicino all'ER;0,251186;Homo sapiens;;Cytoplasm;non-specific serine/threonine protein kinase
STK25;O00506;1,106364;6,20E-02;0,9157656;3,65E-02;Vicino all'ER;0,1905984;Homo sapiens;;Golgi apparatus;Serine/threonine-protein kinase 25
STK3;Q13188;2,056281;1,00E+00;1,843742;1,00E+00;Vicino all'ER;0,212539;Homo sapiens;;Cytoplasm;Serine/threonine-protein kinase 3
STK38;Q15208;2,110383;1,00E+00;1,862872;1,00E+00;Vicino all'ER;0,247511;Homo sapiens;Cytoplasm;Cytoplasm;Serine/threonine-protein kinase 38
STK39;"A0A8V8TKT5;Q9UEW8";2,1027;1,00E+00;1,86109;1,00E+00;Vicino all'ER;0,24161;Homo sapiens;;Cytoplasm;"non-specific serine/threonine protein kinase;STE20/SPS1-related proline-alanine-rich protein kinase"
STK4;Q13043;2,11708;1,00E+00;1,87438;1,00E+00;Vicino all'ER;0,2427;Homo sapiens;;Cytoplasm;Serine/threonine-protein kinase 4
STMN1;P16949;2,056617;1,00E+00;1,820323;1,00E+00;Vicino all'ER;0,236294;Homo sapiens;Cytoplasm;Cytoplasm;Stathmin
STMN2;"E5RGX5;Q93045";2,063969;1,00E+00;1,828573;1,00E+00;Vicino all'ER;0,235396;Homo sapiens;;Cytoplasm;"Stathmin;Stathmin-2"
STOM;P27105;1,105002;6,14E-02;1,019021;7,89E-02;Vicino all'ER;0,085981;Homo sapiens;ER;PM;Stomatin
STOML1;Q9UBI4;1,569083;5,79E-01;1,371027;5,08E-01;Vicino all'ER;0,198056;Homo sapiens;;Golgi apparatus;Stomatin-like protein 1
STOML2;Q9UJZ1;0,5706142;1,07E-03;0,5370116;1,13E-03;Vicino all'ER;0,0336026;Homo sapiens;Mitochondria;Mitochondria;Stomatin-like protein 2, mitochondrial
"STON1-GTF2A1L;STON1-GTF2A1L;STON1";"A0A0A6YYG5;Q53S48;Q9Y6Q2";2,132577;1,00E+00;1,874268;1,00E+00;Vicino all'ER;0,258309;Homo sapiens;;Cytoplasm;"Protein STON1-GTF2A1L;STON1-GTF2A1L readthrough;Stonin-1"
STRAP;Q9Y3F4;2,20271;1,00E+00;1,960987;1,00E+00;Vicino all'ER;0,241723;Homo sapiens;;Cytoplasm;Serine-threonine kinase receptor-associated protein
STRBP;Q96SI9;1,187968;9,78E-02;0,9869695;6,28E-02;Vicino all'ER;0,2009985;Homo sapiens;;Nucleus;Spermatid perinuclear RNA-binding protein
STRIP1;Q5VSL9;1,900525;1,00E+00;1,65848;1,00E+00;Vicino all'ER;0,242045;Homo sapiens;;protein-complex;Striatin-interacting protein 1
STRN;O43815;1,506637;4,66E-01;1,290573;3,60E-01;Vicino all'ER;0,216064;Homo sapiens;;protein-complex;Striatin
STRN3;Q13033;1,787869;9,74E-01;1,583607;9,30E-01;Vicino all'ER;0,204262;Homo sapiens;protein-complex;protein-complex;Striatin-3
STRN4;Q9NRL3;1,914988;1,00E+00;1,65108;1,00E+00;Vicino all'ER;0,263908;Homo sapiens;protein-complex;Cytoplasm;Striatin-4
STS;"A0A590UJL0;A0A590UJT4;A0A590UJY9;P08842";1,354571;2,38E-01;1,073798;1,14E-01;Vicino all'ER;0,280773;Homo sapiens;;Golgi apparatus;"Steroid sulfatase;Steroid sulfatase;Steroid sulfatase;Steryl-sulfatase"
STT3A;P46977;0,5787839;1,19E-03;0,6886721;5,69E-03;Vicino al REPLICOMA;0,1098882;Homo sapiens;ER;ER;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
STT3B;Q8TCJ2;0,3071938;0,00E+00;0,4791895;4,43E-04;Vicino al REPLICOMA;0,1719957;Homo sapiens;ER;ER;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B
STUB1;Q9UNE7;2,054114;1,00E+00;1,817765;1,00E+00;Vicino all'ER;0,236349;Homo sapiens;Cytoplasm;Cytoplasm;E3 ubiquitin-protein ligase CHIP
STX10;"O60499;Q5U8S2";1,304668;1,86E-01;1,164189;1,89E-01;Vicino all'ER;0,140479;Homo sapiens;endosome-vesicle;PM;"Syntaxin-10;Syntaxin 10"
STX12;Q86Y82;1,168836;8,86E-02;1,089521;1,25E-01;Vicino all'ER;0,079315;Homo sapiens;endosome-vesicle;PM;Syntaxin-12
"STX16-NPEPL1;STX16";"H3BU86;O14662";1,501076;4,54E-01;1,317834;4,09E-01;Vicino all'ER;0,183242;Homo sapiens;endosome-vesicle;PM;"STX16-NPEPL1 readthrough (NMD candidate);Syntaxin-16"
STX17;P56962;1,135822;7,28E-02;0,9294334;4,07E-02;Vicino all'ER;0,2063886;Homo sapiens;;Nucleus;Syntaxin-17
STX18;"D6RF48;Q9P2W9";0,4146298;2,69E-05;0,5361494;1,09E-03;Vicino al REPLICOMA;0,1215196;Homo sapiens;;ER;Syntaxin-18
STX1B;P61266;1,672397;7,75E-01;1,497392;7,64E-01;Vicino all'ER;0,175005;Homo sapiens;;PM;Syntaxin-1B
STX2;"A0A994J5V9;A0A994J7R2;P32856";1,036686;4,08E-02;1,097385;1,32E-01;Vicino al REPLICOMA;0,060699;Homo sapiens;PM;PM;"Syntaxin 2;Syntaxin 2;Syntaxin-2"
STX3;"A0A0C4DGE4;A0A0J9YW33;A0A286YF28;Q13277";1,151462;7,97E-02;0,9328688;4,20E-02;Vicino all'ER;0,2185932;Homo sapiens;;Golgi apparatus;"Syntaxin 3 (Fragment);Syntaxin 3;Syntaxin 3;Syntaxin-3"
STX4;Q12846;0,9526553;2,34E-02;0,9550631;4,95E-02;Vicino al REPLICOMA;0,0024078;Homo sapiens;PM;PM;Syntaxin-4
STX5;Q13190;0,8384329;1,02E-02;0,8525931;2,23E-02;Vicino al REPLICOMA;0,0141602;Homo sapiens;Golgi apparatus;ER;Syntaxin-5
STX6;O43752;1,498998;4,50E-01;1,337921;4,44E-01;Vicino all'ER;0,161077;Homo sapiens;endosome-vesicle;PM;Syntaxin-6
STX7;O15400;1,051271;4,41E-02;1,038437;9,06E-02;Vicino all'ER;0,012834;Homo sapiens;endosome-vesicle;PM;Syntaxin-7
STX8;Q9UNK0;1,416826;3,21E-01;1,272574;3,33E-01;Vicino all'ER;0,144252;Homo sapiens;endosome-vesicle;Golgi apparatus;Syntaxin-8
STXBP1;"A0A1B0GVQ5;A0A1B0GWF2;P61764";1,200706;1,05E-01;1,079536;1,18E-01;Vicino all'ER;0,12117;Homo sapiens;Cytoplasm;PM;Syntaxin-binding protein 1
STXBP3;O00186;1,080488;5,31E-02;1,017364;7,80E-02;Vicino all'ER;0,063124;Homo sapiens;PM;PM;Syntaxin-binding protein 3
STXBP5;"H0Y332;Q5T5C0";1,362075;2,47E-01;1,205296;2,36E-01;Vicino all'ER;0,156779;Homo sapiens;;PM;"Syntaxin binding protein 5;Syntaxin-binding protein 5"
SUB1;P53999;1,978059;1,00E+00;1,785354;1,00E+00;Vicino all'ER;0,192705;Homo sapiens;;Nucleus;Activated RNA polymerase II transcriptional coactivator p15
SUCLA2;"A0A2R8YDQ9;Q9P2R7";0,8008932;7,99E-03;0,6083114;2,40E-03;Vicino all'ER;0,1925818;Homo sapiens;Mitochondria;Mitochondria;"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial"
SUCLG1;P53597;0,8891212;1,46E-02;0,6333929;3,10E-03;Vicino all'ER;0,2557283;Homo sapiens;Mitochondria;Mitochondria;Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial
SUCLG2;Q96I99;0,8855301;1,42E-02;0,6672634;4,69E-03;Vicino all'ER;0,2182667;Homo sapiens;Mitochondria;Mitochondria;Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial
SUGP2;"M0R2Z9;Q8IX01";0,8814026;1,39E-02;0,8041418;1,49E-02;Vicino all'ER;0,0772608;Homo sapiens;;Nucleus;"SURP and G-patch domain containing 2;SURP and G-patch domain-containing protein 2"
SUGT1;Q9Y2Z0;2,137973;1,00E+00;1,894869;1,00E+00;Vicino all'ER;0,243104;Homo sapiens;;Cytoplasm;Protein SGT1 homolog
SUMF1;Q8NBK3;0,3259941;0,00E+00;0,2470577;0,00E+00;Vicino all'ER;0,0789364;Homo sapiens;ER;ER;Formylglycine-generating enzyme
SUMF2;"J3KQJ1;Q8NBJ7";0,8406754;1,04E-02;0,5628183;1,48E-03;Vicino all'ER;0,2778571;Homo sapiens;ER;ER;"Sulfatase modifying factor 2;Inactive C-alpha-formylglycine-generating enzyme 2"
SUMO1;"B8ZZN6;P63165";1,461045;3,86E-01;1,276023;3,37E-01;Vicino all'ER;0,185022;Homo sapiens;;Nucleus;Small ubiquitin-related modifier 1
SUMO2;P61956;2,08147;1,00E+00;1,835633;1,00E+00;Vicino all'ER;0,245837;Homo sapiens;;Cytoplasm;Small ubiquitin-related modifier 2
SUN1;"E9PHI4;H0Y742;O94901";1,269859;1,55E-01;1,10658;1,38E-01;Vicino all'ER;0,163279;Homo sapiens;Nucleus;Nucleus;"Sad1 and UNC84 domain containing 1;Sad1 and UNC84 domain containing 1 (Fragment);SUN domain-containing protein 1"
SUN2;"B0QY64;Q9UH99";0,8300193;9,63E-03;0,7908364;1,31E-02;Vicino all'ER;0,0391829;Homo sapiens;Nucleus;Nucleus;"Sad1 and UNC84 domain containing 2;SUN domain-containing protein 2"
SUOX;P51687;0,8089303;8,41E-03;0,6777834;5,20E-03;Vicino all'ER;0,1311469;Homo sapiens;Mitochondria;Mitochondria;Sulfite oxidase, mitochondrial
SUPT16H;Q9Y5B9;0,8234733;9,18E-03;0,6979104;6,18E-03;Vicino all'ER;0,1255629;Homo sapiens;;Nucleus;FACT complex subunit SPT16
SUPT4H1;P63272;2,032213;1,00E+00;1,799846;1,00E+00;Vicino all'ER;0,232367;Homo sapiens;;Cytoplasm;Transcription elongation factor SPT4
SUPT5H;O00267;1,185912;9,68E-02;1,070931;1,12E-01;Vicino all'ER;0,114981;Homo sapiens;;Nucleus;Transcription elongation factor SPT5
SUPT6H;Q7KZ85;0,8857315;1,42E-02;0,7485368;9,47E-03;Vicino all'ER;0,1371947;Homo sapiens;Nucleus;Mitochondria;Transcription elongation factor SPT6
SUPV3L1;Q8IYB8;0,7166298;4,17E-03;0,7132455;7,09E-03;Vicino all'ER;0,0033843;Homo sapiens;Mitochondria;ER;ATP-dependent RNA helicase SUPV3L1, mitochondrial
SURF1;Q15526;0,9694083;2,65E-02;0,7932201;1,33E-02;Vicino all'ER;0,1761882;Homo sapiens;Mitochondria;Mitochondria;Surfeit locus protein 1
SURF4;"O15260;Q5T8U5";0,8178132;8,97E-03;0,7573981;1,01E-02;Vicino all'ER;0,0604151;Homo sapiens;ER;ER;Surfeit locus protein 4
SURF6;O75683;1,263125;1,49E-01;1,176449;2,01E-01;Vicino all'ER;0,086676;Homo sapiens;;Nucleus;Surfeit locus protein 6
SV2A;Q7L0J3;1,450753;3,70E-01;1,242937;2,88E-01;Vicino all'ER;0,207816;Homo sapiens;;endosome-vesicle;Synaptic vesicle glycoprotein 2A
SVEP1;Q4LDE5;0,6333038;2,18E-03;0,5347853;1,07E-03;Vicino all'ER;0,0985185;Homo sapiens;;ER;Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1
SVIL;O95425;0,5128952;4,07E-04;0,5541067;1,38E-03;Vicino al REPLICOMA;0,0412115;Homo sapiens;;ER;Supervillin
SWAP70;Q9UH65;2,143217;1,00E+00;1,90094;1,00E+00;Vicino all'ER;0,242277;Homo sapiens;;Cytoplasm;Switch-associated protein 70
SYAP1;Q96A49;1,69331;8,13E-01;1,417593;6,05E-01;Vicino all'ER;0,275717;Homo sapiens;;Cytoplasm;Synapse-associated protein 1
SYDE1;"M0QXZ8;Q6ZW31";1,544682;5,34E-01;1,347627;4,64E-01;Vicino all'ER;0,197055;Homo sapiens;;Lysosome;"Synapse defective 1, Rho GTPase, homolog 1 (C. elegans), isoform CRA_a;Rho GTPase-activating protein SYDE1"
SYF2;O95926;0,9186813;1,82E-02;0,7556325;1,00E-02;Vicino all'ER;0,1630488;Homo sapiens;;Mitochondria;Pre-mRNA-splicing factor SYF2
SYMPK;Q92797;1,084665;5,45E-02;0,9846227;6,21E-02;Vicino all'ER;0,1000423;Homo sapiens;;Nucleus;Symplekin
SYNC;Q9H7C4;2,123876;1,00E+00;1,8767;1,00E+00;Vicino all'ER;0,247176;Homo sapiens;;Cytoplasm;Syncoilin
SYNCRIP;"A0AA34QW03;O60506";1,672236;7,74E-01;1,511405;7,91E-01;Vicino all'ER;0,160831;Homo sapiens;;Translation;"Synaptotagmin binding cytoplasmic RNA interacting protein;Heterogeneous nuclear ribonucleoprotein Q"
SYNCRIP;A0A7I2V346;2,04655;1,00E+00;1,839843;1,00E+00;Vicino all'ER;0,206707;Homo sapiens;;Translation;Synaptotagmin binding cytoplasmic RNA interacting protein
SYNE1;Q8NF91;0,6980827;3,65E-03;0,7124231;7,08E-03;Vicino al REPLICOMA;0,0143404;Homo sapiens;;Nucleus;Nesprin-1
SYNE3;Q6ZMZ3;1,008566;3,43E-02;0,8391877;1,98E-02;Vicino all'ER;0,1693783;Homo sapiens;;Mitochondria;Nesprin-3
SYNGR1;"B5MCD7;O43759";1,111307;6,37E-02;1,086628;1,23E-01;Vicino all'ER;0,024679;Homo sapiens;;PM;"Synaptogyrin 1;Synaptogyrin-1"
SYNGR2;"K7ELD9;K7ENG9;O43760";1,485998;4,27E-01;1,322502;4,18E-01;Vicino all'ER;0,163496;Homo sapiens;;endosome-vesicle;"Synaptogyrin 2;Synaptogyrin 2;Synaptogyrin-2"
SYNJ1;"A0A0D9SGJ6;J3KQV8;O43426";1,174427;9,11E-02;1,061011;1,05E-01;Vicino all'ER;0,113416;Homo sapiens;;Golgi apparatus;"phosphoinositide 5-phosphatase;phosphoinositide 5-phosphatase;Synaptojanin-1"
SYNJ2;"A0A1W2PR85;O15056";2,330449;1,00E+00;2,082669;1,00E+00;Vicino all'ER;0,24778;Homo sapiens;;Cytoplasm;"phosphoinositide 5-phosphatase;Synaptojanin-2"
SYNM;O15061;1,93552;1,00E+00;1,666303;1,00E+00;Vicino all'ER;0,269217;Homo sapiens;;Mitochondria;Synemin
SYNPO;Q8N3V7;0,6369988;2,24E-03;0,6834704;5,52E-03;Vicino al REPLICOMA;0,0464716;Homo sapiens;;Mitochondria;Synaptopodin
SYNPO2;Q9UMS6;0,5594656;8,74E-04;0,6280102;2,99E-03;Vicino al REPLICOMA;0,0685446;Homo sapiens;;Nucleus;Synaptopodin-2
SYNRG;Q9UMZ2;2,076927;1,00E+00;1,823671;1,00E+00;Vicino all'ER;0,253256;Homo sapiens;Cytoplasm;Cytoplasm;Synergin gamma
SYPL1;Q16563;0,8947121;1,51E-02;0,9455844;4,63E-02;Vicino al REPLICOMA;0,0508723;Homo sapiens;endosome-vesicle;PM;Synaptophysin-like protein 1
SYPL1;A0A994J5W6;1,23576;1,28E-01;1,182527;2,11E-01;Vicino all'ER;0,053233;Homo sapiens;endosome-vesicle;endosome-vesicle;Synaptophysin like 1
SYT1;"A0A994J7L5;J3KQA0;P21579";1,91156;1,00E+00;1,724473;1,00E+00;Vicino all'ER;0,187087;Homo sapiens;;endosome-vesicle;"Synaptotagmin;Synaptotagmin;Synaptotagmin-1"
SYTL2;A0A8J9FM55;1,113348;6,43E-02;0,9968719;6,74E-02;Vicino all'ER;0,1164761;Homo sapiens;;PM;Synaptotagmin like 2
SYVN1;Q86TM6;0,945869;2,20E-02;0,7346234;8,48E-03;Vicino all'ER;0,2112456;Homo sapiens;ER;ER;E3 ubiquitin-protein ligase synoviolin
SZRD1;Q7Z422;2,128941;1,00E+00;1,888116;1,00E+00;Vicino all'ER;0,240825;Homo sapiens;Cytoplasm;Cytoplasm;SUZ domain-containing protein 1
TAB1;Q15750;2,022283;1,00E+00;1,79736;1,00E+00;Vicino all'ER;0,224923;Homo sapiens;;Cytoplasm;TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
TAB2;Q9NYJ8;2,072101;1,00E+00;1,823018;1,00E+00;Vicino all'ER;0,249083;Homo sapiens;;Cytoplasm;TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
TACC1;O75410;0,4118194;2,75E-05;0,4869179;5,43E-04;Vicino al REPLICOMA;0,0750985;Homo sapiens;;ER;Transforming acidic coiled-coil-containing protein 1
TACO1;Q9BSH4;0,8546598;1,15E-02;0,6850337;5,54E-03;Vicino all'ER;0,1696261;Homo sapiens;Mitochondria;Mitochondria;Translational activator of cytochrome c oxidase 1
TAF15;"A0A0J9YYE0;Q92804";0,8763466;1,33E-02;0,7804388;1,20E-02;Vicino all'ER;0,0959078;Homo sapiens;;Nucleus;TATA-binding protein-associated factor 2N
TAF5;Q15542;1,53998;5,26E-01;1,24053;2,85E-01;Vicino all'ER;0,29945;Homo sapiens;;Mitochondria;Transcription initiation factor TFIID subunit 5
TAGLN;Q01995;2,09376;1,00E+00;1,851877;1,00E+00;Vicino all'ER;0,241883;Homo sapiens;Cytoplasm;Cytoplasm;Transgelin
TAGLN2;P37802;2,105198;1,00E+00;1,864643;1,00E+00;Vicino all'ER;0,240555;Homo sapiens;Cytoplasm;Cytoplasm;Transgelin-2
TAGLN3;"C9J5W6;Q9UI15";2,168699;1,00E+00;1,921931;1,00E+00;Vicino all'ER;0,246768;Homo sapiens;;Cytoplasm;"Transgelin;Transgelin-3"
TALDO1;P37837;2,123477;1,00E+00;1,880847;1,00E+00;Vicino all'ER;0,24263;Homo sapiens;Cytoplasm;Cytoplasm;Transaldolase
TAMM41;Q96BW9;0,5021324;3,23E-04;0,5433237;1,23E-03;Vicino al REPLICOMA;0,0411913;Homo sapiens;;ER;Phosphatidate cytidylyltransferase, mitochondrial
TANC1;Q9C0D5;0,5098542;3,63E-04;0,6470785;3,57E-03;Vicino al REPLICOMA;0,1372243;Homo sapiens;;Golgi apparatus;Protein TANC1
TANGO6;Q9C0B7;1,841158;1,00E+00;1,66809;1,00E+00;Vicino all'ER;0,173068;Homo sapiens;;Cytoplasm;Transport and Golgi organization protein 6 homolog
TANK;"E7EQA9;H7C3L4;Q92844";2,32662;1,00E+00;2,099099;1,00E+00;Vicino all'ER;0,227521;Homo sapiens;Cytoplasm;Cytoplasm;"TRAF family member associated NFKB activator;TRAF family member associated NFKB activator (Fragment);TRAF family member-associated NF-kappa-B activator"
TAOK1;Q7L7X3;1,494344;4,42E-01;1,38668;5,40E-01;Vicino all'ER;0,107664;Homo sapiens;;endosome-vesicle;Serine/threonine-protein kinase TAO1
TAOK2;Q9UL54;1,304386;1,85E-01;1,287583;3,57E-01;Vicino all'ER;0,016803;Homo sapiens;;Golgi apparatus;Serine/threonine-protein kinase TAO2
TAOK3;Q9H2K8;1,621243;6,81E-01;1,508663;7,86E-01;Vicino all'ER;0,11258;Homo sapiens;;endosome-vesicle;Serine/threonine-protein kinase TAO3
TAP1;"A0A140T9T7;A0A8V8TNH0;Q03518";0,2818151;0,00E+00;0,4190775;2,39E-04;Vicino al REPLICOMA;0,1372624;Homo sapiens;ER;ER;"ABC-type antigen peptide transporter;Transporter 1, ATP binding cassette subfamily B member;Antigen peptide transporter 1"
TAP2;"A0A087WYD6;A0A8V8TNJ0;A0A994J4Y7;Q03519;X5CMH5";0,1668027;0,00E+00;0,4392145;3,59E-04;Vicino al REPLICOMA;0,2724118;Homo sapiens;ER;ER;"ABC-type antigen peptide transporter;ABC-type antigen peptide transporter;ABC-type antigen peptide transporter;Antigen peptide transporter 2;ABC-type antigen peptide transporter"
TAPBP;"A0A0A0MSV9;A0A0G2JH37;A0A0G2JKZ1;A0A8V8TP24;A2AB90;O15533";0,5156096;4,03E-04;0,6498468;3,74E-03;Vicino al REPLICOMA;0,1342372;Homo sapiens;ER;ER;Tapasin
TAPBPL;Q9BX59;0,9999088;3,25E-02;0,7458858;9,29E-03;Vicino all'ER;0,254023;Homo sapiens;;ER;Tapasin-related protein
TARBP2;"A0AA34QVS4;Q15633";2,096013;1,00E+00;1,875104;1,00E+00;Vicino all'ER;0,220909;Homo sapiens;Nucleus;Translation;RISC-loading complex subunit TARBP2
TARDBP;Q13148;0,9128311;1,72E-02;0,7716514;1,12E-02;Vicino all'ER;0,1411797;Homo sapiens;;Nucleus;TAR DNA-binding protein 43
TARS1;P26639;2,115571;1,00E+00;1,89262;1,00E+00;Vicino all'ER;0,222951;Homo sapiens;Cytoplasm;Cytoplasm;Threonine--tRNA ligase 1, cytoplasmic
TARS2;Q9BW92;1,277892;1,62E-01;1,007969;7,26E-02;Vicino all'ER;0,269923;Homo sapiens;Mitochondria;Mitochondria;Threonine--tRNA ligase, mitochondrial
TARS3;A2RTX5;1,572836;5,87E-01;1,465505;7,02E-01;Vicino all'ER;0,107331;Homo sapiens;;Translation;Threonine--tRNA ligase 2, cytoplasmic
TASOR;Q9UK61;1,565477;5,73E-01;1,437496;6,47E-01;Vicino all'ER;0,127981;Homo sapiens;;Nucleus;Protein TASOR
TATDN1;Q6P1N9;2,040829;1,00E+00;1,784149;1,00E+00;Vicino all'ER;0,25668;Homo sapiens;;Cytoplasm;Deoxyribonuclease TATDN1
TAX1BP1;"B8ZZD4;Q86VP1";1,290443;1,73E-01;1,130711;1,58E-01;Vicino all'ER;0,159732;Homo sapiens;endosome-vesicle;Golgi apparatus;"Tax1 binding protein 1;Tax1-binding protein 1"
TAX1BP3;O14907;2,03617;1,00E+00;1,792291;1,00E+00;Vicino all'ER;0,243879;Homo sapiens;;Cytoplasm;Tax1-binding protein 3
TBC1D1;"A0A8V8TNS9;H0Y8P0;H7C380;Q86TI0";2,121926;1,00E+00;1,880059;1,00E+00;Vicino all'ER;0,241867;Homo sapiens;;Cytoplasm;"TBC1 domain family member 1;TBC1 domain family member 1 (Fragment);TBC1 domain family member 1 (Fragment);TBC1 domain family member 1"
TBC1D10A;Q9BXI6;0,7151169;4,07E-03;0,606774;2,40E-03;Vicino all'ER;0,1083429;Homo sapiens;;PM;TBC1 domain family member 10A
TBC1D10B;Q4KMP7;1,51705;4,82E-01;1,350727;4,70E-01;Vicino all'ER;0,166323;Homo sapiens;;endosome-vesicle;TBC1 domain family member 10B
TBC1D13;Q9NVG8;2,093438;1,00E+00;1,852037;1,00E+00;Vicino all'ER;0,241401;Homo sapiens;Cytoplasm;Cytoplasm;TBC1 domain family member 13
TBC1D15;Q8TC07;1,989491;1,00E+00;1,761686;1,00E+00;Vicino all'ER;0,227805;Homo sapiens;;Cytoplasm;TBC1 domain family member 15
TBC1D17;Q9HA65;2,123631;1,00E+00;1,876588;1,00E+00;Vicino all'ER;0,247043;Homo sapiens;;Cytoplasm;TBC1 domain family member 17
TBC1D2;Q9BYX2;2,073855;1,00E+00;1,836443;1,00E+00;Vicino all'ER;0,237412;Homo sapiens;;Cytoplasm;TBC1 domain family member 2A
TBC1D20;"A0A7P0T865;A0A7P0T8Q3;A0A7P0TBI8;Q96BZ9";0,47964;2,08E-04;0,4150698;2,28E-04;Vicino all'ER;0,0645702;Homo sapiens;;ER;TBC1 domain family member 20
TBC1D22A;Q8WUA7;2,100024;1,00E+00;1,833541;1,00E+00;Vicino all'ER;0,266483;Homo sapiens;;Cytoplasm;TBC1 domain family member 22A
TBC1D23;Q9NUY8;1,973077;1,00E+00;1,757611;1,00E+00;Vicino all'ER;0,215466;Homo sapiens;;Cytoplasm;TBC1 domain family member 23
TBC1D24;Q9ULP9;1,398233;2,93E-01;1,360366;4,89E-01;Vicino all'ER;0,037867;Homo sapiens;;endosome-vesicle;TBC1 domain family member 24
TBC1D2B;Q9UPU7;2,125696;1,00E+00;1,876795;1,00E+00;Vicino all'ER;0,248901;Homo sapiens;Cytoplasm;Cytoplasm;TBC1 domain family member 2B
TBC1D4;O60343;2,151325;1,00E+00;1,910002;1,00E+00;Vicino all'ER;0,241323;Homo sapiens;Cytoplasm;Cytoplasm;TBC1 domain family member 4
TBC1D5;Q92609;2,022263;1,00E+00;1,814721;1,00E+00;Vicino all'ER;0,207542;Homo sapiens;endosome-vesicle;endosome-vesicle;TBC1 domain family member 5
TBC1D8B;"J3KN75;Q0IIM8";1,993363;1,00E+00;1,725662;1,00E+00;Vicino all'ER;0,267701;Homo sapiens;;Cytoplasm;TBC1 domain family member 8B
TBC1D9B;Q66K14;1,961956;1,00E+00;1,725348;1,00E+00;Vicino all'ER;0,236608;Homo sapiens;;Cytoplasm;TBC1 domain family member 9B
TBCA;"E5RIW3;E5RJD8;O75347";2,083306;1,00E+00;1,842364;1,00E+00;Vicino all'ER;0,240942;Homo sapiens;;Cytoplasm;Tubulin-specific chaperone A
TBCB;Q99426;2,062233;1,00E+00;1,827482;1,00E+00;Vicino all'ER;0,234751;Homo sapiens;Cytoplasm;Cytoplasm;Tubulin-folding cofactor B
TBCC;Q15814;2,08067;1,00E+00;1,840224;1,00E+00;Vicino all'ER;0,240446;Homo sapiens;;Cytoplasm;Tubulin-specific chaperone C
TBCD;"A0A804HHW7;A0A804HJ32;A0A804HJY5;A0A804HKT8;A0A804HL62;A0A804HLF8;A0A804HLI2;J3KR97;Q9BTW9";2,265877;1,00E+00;2,049376;1,00E+00;Vicino all'ER;0,216501;Homo sapiens;protein-complex;Cytoplasm;Tubulin-specific chaperone D
TBCE;"A0A2R8YHI9;Q15813";2,063432;1,00E+00;1,823955;1,00E+00;Vicino all'ER;0,239477;Homo sapiens;;Cytoplasm;Tubulin-specific chaperone E
TBCEL;Q5QJ74;1,725607;8,67E-01;1,439942;6,50E-01;Vicino all'ER;0,285665;Homo sapiens;;Cytoplasm;Tubulin-specific chaperone cofactor E-like protein
